data,valor,selic_aa,num_indice
2022-03-22,0.043739,11.65,1248.4667680899186
2022-03-21,0.043739,11.65,1247.920939949994
2022-03-18,0.043739,11.65,1247.3753504454623
2022-03-17,0.043739,11.65,1246.8299994719932
2022-03-16,0.040168,10.65,1246.3293738890893
2022-03-15,0.040168,10.65,1245.828949316728
2022-03-14,0.040168,10.65,1245.3287256741992
2022-03-11,0.040168,10.65,1244.828702880826
2022-03-10,0.040168,10.65,1244.328880855964
2022-03-09,0.040168,10.65,1243.8292595190005
2022-03-08,0.040168,10.65,1243.3298387893553
2022-03-07,0.040168,10.65,1242.8306185864817
2022-03-04,0.040168,10.65,1242.3315988298639
2022-03-03,0.040168,10.65,1241.8327794390186
2022-03-02,0.040168,10.65,1241.3341603334961
2022-02-25,0.040168,10.65,1240.8357414328775
2022-02-24,0.040168,10.65,1240.3375226567769
2022-02-23,0.040168,10.65,1239.8395039248403
2022-02-22,0.040168,10.65,1239.3416851567465
2022-02-21,0.040168,10.65,1238.8440662722064
2022-02-18,0.040168,10.65,1238.3466471909628
2022-02-17,0.040168,10.65,1237.849427832791
2022-02-16,0.040168,10.65,1237.3524081174983
2022-02-15,0.040168,10.65,1236.8555879649246
2022-02-14,0.040168,10.65,1236.3589672949415
2022-02-11,0.040168,10.65,1235.8625460274532
2022-02-10,0.040168,10.65,1235.366324082396
2022-02-09,0.040168,10.65,1234.8703013797376
2022-02-08,0.040168,10.65,1234.3744778394791
2022-02-07,0.040168,10.65,1233.878853381653
2022-02-04,0.040168,10.65,1233.3834279263235
2022-02-03,0.040168,10.65,1232.888201393588
2022-02-02,0.034749,9.15,1232.45993389116
2022-02-01,0.034749,9.15,1232.0318151557115
2022-01-31,0.034749,9.15,1231.6038451355655
2022-01-28,0.034749,9.15,1231.1760237790625
2022-01-27,0.034749,9.15,1230.7483510345614
2022-01-26,0.034749,9.15,1230.320826850439
2022-01-25,0.034749,9.15,1229.8934511750901
2022-01-24,0.034749,9.15,1229.4662239569275
2022-01-21,0.034749,9.15,1229.039145144381
2022-01-20,0.034749,9.15,1228.6122146859
2022-01-19,0.034749,9.15,1228.1854325299503
2022-01-18,0.034749,9.15,1227.7587986250162
2022-01-17,0.034749,9.15,1227.3323129195996
2022-01-14,0.034749,9.15,1226.905975362221
2022-01-13,0.034749,9.15,1226.4797859014182
2022-01-12,0.034749,9.15,1226.0537444857468
2022-01-11,0.034749,9.15,1225.6278510637806
2022-01-10,0.034749,9.15,1225.2021055841112
2022-01-07,0.034749,9.15,1224.7765079953479
2022-01-06,0.034749,9.15,1224.3510582461179
2022-01-05,0.034749,9.15,1223.9257562850664
