,Indicador,Data,DataReferencia,Media,Mediana,Minimo,Maximo,numeroRespondentes
351,Câmbio,2022-08-19,11/2022,5.261,5.25,4.73,5.7724,114
352,Taxa de desocupação,2022-08-19,11/2022,8.7344,8.75,6.7,9.9,34
353,Taxa de desocupação,2022-08-19,11/2022,8.8465,8.84,6.7,10.0,51
354,IPCA Livres,2022-08-19,11/2022,0.4613,0.465,0.19,0.67,56
355,IPCA Livres,2022-08-19,11/2022,0.4451,0.455,0.0,0.67,74
356,IPCA Serviços,2022-08-19,11/2022,0.542,0.5301,0.241,0.81,49
357,IPCA Serviços,2022-08-19,11/2022,0.5415,0.53,0.241,0.81,63
358,IPCA Bens industrializados,2022-08-19,11/2022,0.3561,0.35,0.0,0.87,47
359,IPCA Bens industrializados,2022-08-19,11/2022,0.3552,0.35,-0.13,0.87,62
360,IPCA Alimentação no domicílio,2022-08-19,11/2022,0.4633,0.47,-0.2,1.05,47
361,IPCA Alimentação no domicílio,2022-08-19,11/2022,0.4618,0.45,-0.2,1.05,63
362,IPCA Administrados,2022-08-19,11/2022,0.5701,0.615,-0.21,1.15,58
363,IPCA Administrados,2022-08-19,11/2022,0.5957,0.6135,-0.21,1.84,78
364,IGP-M,2022-08-19,10/2022,0.556,0.52,-0.27,1.05,45
365,IGP-M,2022-08-19,10/2022,0.5998,0.6066,-0.27,1.05,78
366,IPCA,2022-08-19,10/2022,0.5244,0.53,0.11,0.873,95
367,IPCA,2022-08-19,10/2022,0.5287,0.53,0.11,0.9,141
368,Câmbio,2022-08-19,10/2022,5.2995,5.25,4.85,5.7728,70
369,Câmbio,2022-08-19,10/2022,5.3129,5.3,4.85,5.9,114
370,Taxa de desocupação,2022-08-19,10/2022,8.8261,8.8,7.2,9.9129,34
371,Taxa de desocupação,2022-08-19,10/2022,8.9219,8.9,7.2,9.9129,51
372,IPCA Livres,2022-08-19,10/2022,0.5624,0.53,0.22,0.88,58
373,IPCA Livres,2022-08-19,10/2022,0.5756,0.575,0.186,1.08,76
374,IPCA Serviços,2022-08-19,10/2022,0.6774,0.7,0.364,1.06,51
375,IPCA Serviços,2022-08-19,10/2022,0.6482,0.66,-0.035,1.06,65
376,IPCA Bens industrializados,2022-08-19,10/2022,0.5929,0.58,-0.1,1.45,49
377,IPCA Bens industrializados,2022-08-19,10/2022,0.6152,0.6,-0.1,1.45,64
378,IPCA Alimentação no domicílio,2022-08-19,10/2022,0.3025,0.34,-0.22,0.85,49
379,IPCA Alimentação no domicílio,2022-08-19,10/2022,0.3651,0.36,-0.37,1.83,65
380,IPCA Administrados,2022-08-19,10/2022,0.3913,0.44,-0.683,0.9,60
381,IPCA Administrados,2022-08-19,10/2022,0.4076,0.425,-0.683,0.9,80
382,IGP-M,2022-08-19,09/2022,0.2931,0.3,-0.4,0.7875,45
383,IGP-M,2022-08-19,09/2022,0.3764,0.435,-0.4,0.7875,78
384,IPCA,2022-08-19,09/2022,0.3332,0.33,-0.06,0.7,95
385,IPCA,2022-08-19,09/2022,0.3781,0.39,-0.06,0.72,142
386,Câmbio,2022-08-19,09/2022,5.2584,5.2,4.95,5.7569,70
387,Câmbio,2022-08-19,09/2022,5.2833,5.25,4.95,5.7569,114
388,Taxa de desocupação,2022-08-19,09/2022,8.904,8.8,7.7,9.8749,34
389,Taxa de desocupação,2022-08-19,09/2022,8.9824,9.0,7.7,9.9,52
390,IPCA Livres,2022-08-19,09/2022,0.4702,0.46,0.184,1.0,58
391,IPCA Livres,2022-08-19,09/2022,0.4803,0.49,0.0,1.0,78
392,IPCA Serviços,2022-08-19,09/2022,0.6404,0.6505,0.14,0.94,51
393,IPCA Serviços,2022-08-19,09/2022,0.6288,0.64,0.14,0.94,67
394,IPCA Bens industrializados,2022-08-19,09/2022,0.4554,0.47,-0.15,0.85,49
395,IPCA Bens industrializados,2022-08-19,09/2022,0.4763,0.485,-0.15,1.0,66
396,IPCA Alimentação no domicílio,2022-08-19,09/2022,0.0572,0.075,-0.85,0.656,49
397,IPCA Alimentação no domicílio,2022-08-19,09/2022,0.1453,0.2,-0.85,1.45,67
398,IPCA Administrados,2022-08-19,09/2022,-0.1293,-0.08,-1.12,0.45,60
399,IPCA Administrados,2022-08-19,09/2022,-0.0133,0.0,-1.12,0.55,82
400,IGP-M,2022-08-19,08/2022,-0.3868,-0.5,-0.9433,0.5,45
401,IGP-M,2022-08-19,08/2022,-0.1933,-0.4,-0.9433,0.565,78
402,IPCA,2022-08-19,08/2022,-0.3108,-0.31,-1.33,0.34,95
403,IPCA,2022-08-19,08/2022,-0.2394,-0.2584,-1.33,0.55,142
404,Câmbio,2022-08-19,08/2022,5.2008,5.1987,5.0,5.6784,70
405,Câmbio,2022-08-19,08/2022,5.2273,5.2,4.91,5.6784,114
406,Taxa de desocupação,2022-08-19,08/2022,8.9648,8.9,8.0,9.8706,34
407,Taxa de desocupação,2022-08-19,08/2022,9.032,9.0,8.0,9.8706,51
408,IPCA Livres,2022-08-19,08/2022,0.3196,0.3,-0.07,0.83,58
409,IPCA Livres,2022-08-19,08/2022,0.3359,0.32,-0.07,0.83,78
410,IPCA Serviços,2022-08-19,08/2022,0.3831,0.39,0.18,0.67,52
411,IPCA Serviços,2022-08-19,08/2022,0.3509,0.3623,-0.37,0.67,68
412,IPCA Bens industrializados,2022-08-19,08/2022,0.2988,0.295,0.05,0.57,50
413,IPCA Bens industrializados,2022-08-19,08/2022,0.3531,0.34,0.05,0.99,67
414,IPCA Alimentação no domicílio,2022-08-19,08/2022,0.1796,0.18,-0.72,1.03,50
415,IPCA Alimentação no domicílio,2022-08-19,08/2022,0.2874,0.268,-0.72,1.4,68
416,IPCA Administrados,2022-08-19,08/2022,-2.0248,-1.978,-3.56,-0.967,60
417,IPCA Administrados,2022-08-19,08/2022,-1.852,-1.92,-3.56,1.6,82
418,Taxa de desocupação,2022-08-19,07/2022,9.1224,9.04,8.5,9.9201,34
419,Taxa de desocupação,2022-08-19,07/2022,9.148,9.1,8.5,9.9201,51
420,IPCA,2022-08-18,08/2024,0.143,0.15,-0.03,0.32,25
421,IPCA,2022-08-18,08/2024,0.1603,0.15,-0.03,0.41,35
422,IPCA Livres,2022-08-18,08/2024,0.159,0.17,0.01,0.3,9
423,IPCA Livres,2022-08-18,08/2024,0.1547,0.17,0.01,0.3,13
424,IPCA Serviços,2022-08-18,08/2024,0.1765,0.19,0.0,0.33,7
425,IPCA Serviços,2022-08-18,08/2024,0.1818,0.2,0.0,0.33,9
426,IPCA Bens industrializados,2022-08-18,08/2024,0.2455,0.26,0.1687,0.35,7
427,IPCA Bens industrializados,2022-08-18,08/2024,0.2343,0.2,0.1687,0.35,9
428,IPCA Alimentação no domicílio,2022-08-18,08/2024,-0.0967,0.0,-0.53,0.303,7
429,IPCA Alimentação no domicílio,2022-08-18,08/2024,-0.0808,0.0,-0.53,0.303,9
430,IPCA Administrados,2022-08-18,08/2024,0.2223,0.21,0.06,0.3507,9
431,IPCA Administrados,2022-08-18,08/2024,0.1948,0.205,-0.2,0.4,14
432,IPCA,2022-08-18,07/2024,0.2121,0.22,0.02,0.3677,35
433,IPCA,2022-08-18,07/2024,0.2137,0.22,-0.05,0.55,87
434,Câmbio,2022-08-18,07/2024,5.0659,5.05,4.0,5.5,25
435,Câmbio,2022-08-18,07/2024,5.0905,5.1,4.0,5.5153,48
436,IPCA Livres,2022-08-18,07/2024,0.1991,0.195,0.009,0.4,14
437,IPCA Livres,2022-08-18,07/2024,0.2165,0.2,-0.05,0.52,43
438,IPCA Serviços,2022-08-18,07/2024,0.3687,0.35,0.19,0.55,10
439,IPCA Serviços,2022-08-18,07/2024,0.3599,0.31,0.11,0.7,32
440,IPCA Bens industrializados,2022-08-18,07/2024,0.163,0.1,-0.1,0.45,11
441,IPCA Bens industrializados,2022-08-18,07/2024,0.1749,0.17,-0.22,0.56,35
442,IPCA Alimentação no domicílio,2022-08-18,07/2024,0.0321,0.0933,-0.22,0.27,11
443,IPCA Alimentação no domicílio,2022-08-18,07/2024,0.0745,0.0667,-0.79,1.22,34
444,IPCA Administrados,2022-08-18,07/2024,0.3214,0.35,0.0,0.53,14
445,IPCA Administrados,2022-08-18,07/2024,0.3405,0.35,-0.3,0.575,44
446,IPCA,2022-08-18,06/2024,0.2266,0.21,0.05,0.55,37
447,IPCA,2022-08-18,06/2024,0.2232,0.21,0.0305,0.55,93
448,Câmbio,2022-08-18,06/2024,5.0824,5.1,4.0,5.5,33
449,Câmbio,2022-08-18,06/2024,5.1205,5.1,4.0,5.73,80
450,IPCA Livres,2022-08-18,06/2024,0.2086,0.205,0.05,0.45,14
451,IPCA Livres,2022-08-18,06/2024,0.2362,0.2,0.023,0.5,44
452,IPCA Serviços,2022-08-18,06/2024,0.3503,0.3,0.18,0.7,11
453,IPCA Serviços,2022-08-18,06/2024,0.3377,0.315,0.07,0.7,34
454,IPCA Bens industrializados,2022-08-18,06/2024,0.238,0.21,0.0,0.41,11
455,IPCA Bens industrializados,2022-08-18,06/2024,0.2337,0.22,-0.05,0.7,35
456,IPCA Alimentação no domicílio,2022-08-18,06/2024,0.1339,0.2,-0.35,0.46,11
457,IPCA Alimentação no domicílio,2022-08-18,06/2024,0.1207,0.2,-0.45,0.56,35
458,IPCA Administrados,2022-08-18,06/2024,0.2674,0.265,0.0,0.6,14
459,IPCA Administrados,2022-08-18,06/2024,0.3186,0.3,-0.18,1.28,44
460,IPCA,2022-08-18,05/2024,0.2538,0.26,-0.12,0.51,37
461,IPCA,2022-08-18,05/2024,0.2459,0.24,-0.12,0.51,93
462,Câmbio,2022-08-18,05/2024,5.083,5.1,4.0,5.5,34
463,Câmbio,2022-08-18,05/2024,5.1313,5.105,4.0,5.81,82
464,IPCA Livres,2022-08-18,05/2024,0.1763,0.19,-0.12,0.5,14
465,IPCA Livres,2022-08-18,05/2024,0.1877,0.2,-0.16,0.5,44
466,IPCA Serviços,2022-08-18,05/2024,0.1831,0.14,-0.12,0.55,11
467,IPCA Serviços,2022-08-18,05/2024,0.1928,0.2,-0.14,0.55,34
468,IPCA Bens industrializados,2022-08-18,05/2024,0.2777,0.27,-0.12,0.7,11
469,IPCA Bens industrializados,2022-08-18,05/2024,0.2338,0.25,-0.28,0.7,35
470,IPCA Alimentação no domicílio,2022-08-18,05/2024,0.1773,0.25,-0.47,0.5,11
471,IPCA Alimentação no domicílio,2022-08-18,05/2024,0.1249,0.22,-0.72,0.5,35
472,IPCA Administrados,2022-08-18,05/2024,0.3461,0.35,-0.12,0.96,15
473,IPCA Administrados,2022-08-18,05/2024,0.4668,0.38,-0.12,1.52,45
474,IPCA,2022-08-18,04/2024,0.3237,0.31,0.17,0.52,38
475,IPCA,2022-08-18,04/2024,0.3234,0.31,0.17,0.69,94
476,Câmbio,2022-08-18,04/2024,5.0842,5.1,4.0,5.5,34
477,Câmbio,2022-08-18,04/2024,5.1328,5.11,4.0,5.8,82
478,IPCA Livres,2022-08-18,04/2024,0.3158,0.3,0.2,0.45,15
479,IPCA Livres,2022-08-18,04/2024,0.3243,0.3,0.2,0.8,46
480,IPCA Serviços,2022-08-18,04/2024,0.3661,0.35,0.18,0.65,11
481,IPCA Serviços,2022-08-18,04/2024,0.3273,0.32,0.09,0.65,34
482,IPCA Bens industrializados,2022-08-18,04/2024,0.3806,0.33,0.15,0.65,11
483,IPCA Bens industrializados,2022-08-18,04/2024,0.2773,0.28,0.03,0.65,35
484,IPCA Alimentação no domicílio,2022-08-18,04/2024,0.4741,0.45,-0.0649,1.0,11
485,IPCA Alimentação no domicílio,2022-08-18,04/2024,0.4713,0.5,-0.0649,1.0,35
486,IPCA Administrados,2022-08-18,04/2024,0.3584,0.35,0.04,0.7947,15
487,IPCA Administrados,2022-08-18,04/2024,0.4048,0.4,-0.28,1.0,46
488,IPCA,2022-08-18,03/2024,0.3159,0.3,0.14,0.52,38
489,IPCA,2022-08-18,03/2024,0.3358,0.3,0.14,0.9562,95
490,Câmbio,2022-08-18,03/2024,5.0878,5.1,4.0,5.5,35
491,Câmbio,2022-08-18,03/2024,5.138,5.14,4.0,5.79,84
492,IPCA Livres,2022-08-18,03/2024,0.3088,0.3,0.2,0.5,15
493,IPCA Livres,2022-08-18,03/2024,0.3339,0.32,0.14,0.73,46
494,IPCA Serviços,2022-08-18,03/2024,0.321,0.3,0.1,0.754,11
495,IPCA Serviços,2022-08-18,03/2024,0.3003,0.285,0.06,0.754,34
496,IPCA Bens industrializados,2022-08-18,03/2024,0.3683,0.32,0.27,0.7,11
497,IPCA Bens industrializados,2022-08-18,03/2024,0.2923,0.3,0.05,0.7,35
498,IPCA Alimentação no domicílio,2022-08-18,03/2024,0.6665,0.5,0.2015,1.36,11
499,IPCA Alimentação no domicílio,2022-08-18,03/2024,0.5686,0.5,-0.32,1.36,35
500,IPCA Administrados,2022-08-18,03/2024,0.3674,0.3,0.2,1.0,15
501,IPCA Administrados,2022-08-18,03/2024,0.4056,0.34,-0.05,1.12,46
502,IPCA,2022-08-18,02/2024,0.4068,0.4,0.2,0.8,39
503,IPCA,2022-08-18,02/2024,0.4213,0.4,0.2,0.8,96
504,Câmbio,2022-08-18,02/2024,5.0809,5.1,4.0,5.5,35
505,Câmbio,2022-08-18,02/2024,5.1358,5.14,4.0,5.78,84
506,IPCA Livres,2022-08-18,02/2024,0.4488,0.46,0.25,0.65,15
507,IPCA Livres,2022-08-18,02/2024,0.4777,0.5,0.25,0.8,46
508,IPCA Serviços,2022-08-18,02/2024,0.7288,0.7,0.3,1.3,11
509,IPCA Serviços,2022-08-18,02/2024,0.6831,0.695,0.3,1.3,34
510,IPCA Bens industrializados,2022-08-18,02/2024,0.3155,0.25,0.1408,0.8,11
511,IPCA Bens industrializados,2022-08-18,02/2024,0.298,0.27,-0.08,0.8,35
512,IPCA Alimentação no domicílio,2022-08-18,02/2024,0.2903,0.28,0.0,0.7,11
513,IPCA Alimentação no domicílio,2022-08-18,02/2024,0.2987,0.28,-0.27,0.86,35
514,IPCA Administrados,2022-08-18,02/2024,0.344,0.32,0.17,0.7,15
515,IPCA Administrados,2022-08-18,02/2024,0.3519,0.33,-0.02,0.9,46
516,IGP-M,2022-08-18,01/2024,0.3843,0.3915,0.18,0.5,16
517,IGP-M,2022-08-18,01/2024,0.3682,0.4,-0.8454,0.63,40
518,IPCA,2022-08-18,01/2024,0.4412,0.44,0.17,0.8,39
519,IPCA,2022-08-18,01/2024,0.4073,0.4,0.0,0.8,97
520,Câmbio,2022-08-18,01/2024,5.0798,5.1,4.0,5.5,35
521,Câmbio,2022-08-18,01/2024,5.1348,5.15,4.0,5.77,85
522,IPCA Livres,2022-08-18,01/2024,0.3919,0.39,0.23,0.58,15
523,IPCA Livres,2022-08-18,01/2024,0.4066,0.4,0.23,0.77,46
524,IPCA Serviços,2022-08-18,01/2024,0.357,0.3,0.2566,0.68,11
525,IPCA Serviços,2022-08-18,01/2024,0.3664,0.325,-0.01,0.68,34
526,IPCA Bens industrializados,2022-08-18,01/2024,0.3877,0.33,0.0451,0.7,11
527,IPCA Bens industrializados,2022-08-18,01/2024,0.316,0.3,0.0,0.79,36
528,IPCA Alimentação no domicílio,2022-08-18,01/2024,0.7697,0.81,0.27,1.18,11
529,IPCA Alimentação no domicílio,2022-08-18,01/2024,0.7039,0.71,0.2,1.21,35
530,IPCA Administrados,2022-08-18,01/2024,0.3831,0.45,0.02,0.657,15
531,IPCA Administrados,2022-08-18,01/2024,0.4537,0.45,-0.33,2.1,46
532,IGP-M,2022-08-18,12/2023,0.4434,0.4596,-0.02,0.7949,26
533,IGP-M,2022-08-18,12/2023,0.4498,0.45,-0.3402,1.0635,75
534,IPCA,2022-08-18,12/2023,0.5583,0.53,0.2954,1.5553,61
535,IPCA,2022-08-18,12/2023,0.5243,0.53,-0.1537,1.5553,134
536,Câmbio,2022-08-18,12/2023,5.1043,5.15,4.0,5.9184,47
537,Câmbio,2022-08-18,12/2023,5.1419,5.2,4.0,5.9184,114
538,Taxa de desocupação,2022-08-18,12/2023,9.4708,9.6,7.1,11.23,25
539,Taxa de desocupação,2022-08-18,12/2023,9.4247,9.58,7.0,11.6,51
540,IPCA Livres,2022-08-18,12/2023,0.6714,0.66,0.3,1.16,23
541,IPCA Livres,2022-08-18,12/2023,0.6177,0.62,0.3,1.16,63
542,IPCA Serviços,2022-08-18,12/2023,0.7462,0.83,0.31,1.06,19
543,IPCA Serviços,2022-08-18,12/2023,0.7056,0.73,0.3,1.13,52
544,IPCA Bens industrializados,2022-08-18,12/2023,0.4506,0.4,0.1,0.71,19
545,IPCA Bens industrializados,2022-08-18,12/2023,0.4501,0.4206,0.1,0.83,52
546,IPCA Alimentação no domicílio,2022-08-18,12/2023,0.7588,0.6529,0.2143,2.42,19
547,IPCA Alimentação no domicílio,2022-08-18,12/2023,0.6971,0.65,-0.0474,2.42,52
548,IPCA Administrados,2022-08-18,12/2023,0.2827,0.3,-0.3935,0.68,24
549,IPCA Administrados,2022-08-18,12/2023,0.2814,0.315,-0.98,1.33,68
550,IGP-M,2022-08-18,11/2023,0.4575,0.4015,-0.09,0.98,26
551,IGP-M,2022-08-18,11/2023,0.4535,0.41,-0.09,0.98,75
552,IPCA,2022-08-18,11/2023,0.3695,0.38,-0.104,0.58,61
553,IPCA,2022-08-18,11/2023,0.365,0.38,-0.104,0.58,134
554,Câmbio,2022-08-18,11/2023,5.1085,5.13,4.0,5.9605,45
555,Câmbio,2022-08-18,11/2023,5.1556,5.2,4.0,5.9605,105
556,Taxa de desocupação,2022-08-18,11/2023,9.4282,9.7,7.5,11.3,22
557,Taxa de desocupação,2022-08-18,11/2023,9.4141,9.7,4.7,11.4,47
558,IPCA Livres,2022-08-18,11/2023,0.3574,0.33,0.07,0.66,23
559,IPCA Livres,2022-08-18,11/2023,0.3216,0.32,-0.19,0.66,63
560,IPCA Serviços,2022-08-18,11/2023,0.3845,0.38,0.3,0.52,19
561,IPCA Serviços,2022-08-18,11/2023,0.358,0.35,0.18,0.58,52
562,IPCA Bens industrializados,2022-08-18,11/2023,0.237,0.28,-0.22,0.47,19
563,IPCA Bens industrializados,2022-08-18,11/2023,0.2208,0.25,-0.22,0.75,52
564,IPCA Alimentação no domicílio,2022-08-18,11/2023,0.4912,0.4,-0.08,1.13,19
565,IPCA Alimentação no domicílio,2022-08-18,11/2023,0.4928,0.495,-0.08,1.13,52
566,IPCA Administrados,2022-08-18,11/2023,0.397,0.395,0.1,0.75,24
567,IPCA Administrados,2022-08-18,11/2023,0.3977,0.4,-0.3,0.96,68
568,IGP-M,2022-08-18,10/2023,0.4752,0.444,0.25,0.84,26
569,IGP-M,2022-08-18,10/2023,0.4755,0.45,0.25,0.84,75
570,IPCA,2022-08-18,10/2023,0.3875,0.4,-0.104,0.76,61
571,IPCA,2022-08-18,10/2023,0.3909,0.4,-0.104,0.76,134
572,Câmbio,2022-08-18,10/2023,5.1126,5.12,4.1,6.0141,45
573,Câmbio,2022-08-18,10/2023,5.1579,5.2,4.1,6.0141,105
574,Taxa de desocupação,2022-08-18,10/2023,9.5427,9.725,7.5,11.59,22
575,Taxa de desocupação,2022-08-18,10/2023,9.5248,9.8,5.2,11.59,47
576,IPCA Livres,2022-08-18,10/2023,0.4429,0.43,0.22,0.82,23
577,IPCA Livres,2022-08-18,10/2023,0.4318,0.42,0.2,0.82,63
578,IPCA Serviços,2022-08-18,10/2023,0.4414,0.43,0.29,0.72,19
579,IPCA Serviços,2022-08-18,10/2023,0.4278,0.4,0.19,0.8,52
580,IPCA Bens industrializados,2022-08-18,10/2023,0.4856,0.47,0.08,0.71,19
581,IPCA Bens industrializados,2022-08-18,10/2023,0.4732,0.46,0.08,0.84,52
582,IPCA Alimentação no domicílio,2022-08-18,10/2023,0.4905,0.46,-0.01,1.02,19
583,IPCA Alimentação no domicílio,2022-08-18,10/2023,0.5008,0.465,-0.01,1.12,52
584,IPCA Administrados,2022-08-18,10/2023,0.3659,0.35,0.1,0.89,24
585,IPCA Administrados,2022-08-18,10/2023,0.3176,0.34,-0.45,0.89,68
586,IGP-M,2022-08-18,09/2023,0.4647,0.45,0.25,0.69,27
587,IGP-M,2022-08-18,09/2023,0.4475,0.4125,0.17,1.18,76
588,IPCA,2022-08-18,09/2023,0.3232,0.35,-0.184,0.5,61
589,IPCA,2022-08-18,09/2023,0.3259,0.3317,-0.184,0.57,134
590,Câmbio,2022-08-18,09/2023,5.1227,5.11,4.15,6.0572,45
591,Câmbio,2022-08-18,09/2023,5.1665,5.2,4.15,6.0572,106
592,Taxa de desocupação,2022-08-18,09/2023,9.6427,9.895,7.5,11.72,22
593,Taxa de desocupação,2022-08-18,09/2023,9.6107,9.885,5.7,11.72,48
594,IPCA Livres,2022-08-18,09/2023,0.3596,0.34,0.12,0.66,23
595,IPCA Livres,2022-08-18,09/2023,0.3274,0.31,0.07,0.66,63
596,IPCA Serviços,2022-08-18,09/2023,0.3966,0.39,0.1,0.63,19
597,IPCA Serviços,2022-08-18,09/2023,0.4088,0.41,0.1,0.65,52
598,IPCA Bens industrializados,2022-08-18,09/2023,0.3334,0.37,0.04,0.5,19
599,IPCA Bens industrializados,2022-08-18,09/2023,0.3153,0.345,0.02,0.56,52
600,IPCA Alimentação no domicílio,2022-08-18,09/2023,0.2435,0.19,-0.14,1.01,19
601,IPCA Alimentação no domicílio,2022-08-18,09/2023,0.2018,0.165,-0.33,1.01,52
602,IPCA Administrados,2022-08-18,09/2023,0.3677,0.31,-0.2,0.75,24
603,IPCA Administrados,2022-08-18,09/2023,0.3401,0.305,-0.47,1.2,68
604,IGP-M,2022-08-18,08/2023,0.3481,0.35,0.1,0.85,27
605,IGP-M,2022-08-18,08/2023,0.3221,0.3,-0.01,0.99,76
606,IPCA,2022-08-18,08/2023,0.2473,0.25,0.0,0.544,61
607,IPCA,2022-08-18,08/2023,0.2466,0.25,0.0,0.544,134
608,Câmbio,2022-08-18,08/2023,5.1179,5.1,4.15,6.0517,45
609,Câmbio,2022-08-18,08/2023,5.1645,5.2,4.15,6.0517,106
610,Taxa de desocupação,2022-08-18,08/2023,9.7236,9.845,7.5,11.73,22
611,Taxa de desocupação,2022-08-18,08/2023,9.6669,9.88,6.2,11.73,47
612,IPCA Livres,2022-08-18,08/2023,0.1976,0.2,0.05,0.38,23
613,IPCA Livres,2022-08-18,08/2023,0.19,0.19,-0.0511,0.5,63
614,IPCA Serviços,2022-08-18,08/2023,0.2143,0.23,-0.14,0.42,19
615,IPCA Serviços,2022-08-18,08/2023,0.2189,0.245,-0.14,0.5,52
616,IPCA Bens industrializados,2022-08-18,08/2023,0.2936,0.31,0.11,0.4,19
617,IPCA Bens industrializados,2022-08-18,08/2023,0.289,0.305,0.03,0.5,52
618,IPCA Alimentação no domicílio,2022-08-18,08/2023,0.0415,-0.03,-0.53,0.92,19
619,IPCA Alimentação no domicílio,2022-08-18,08/2023,-0.0024,-0.035,-0.67,1.64,52
620,IPCA Administrados,2022-08-18,08/2023,0.3575,0.36,0.1,0.71,24
621,IPCA Administrados,2022-08-18,08/2023,0.3783,0.38,-0.17,1.21,68
622,IGP-M,2022-08-18,07/2023,0.3185,0.35,0.09,0.49,27
623,IGP-M,2022-08-18,07/2023,0.297,0.3,-0.06,0.7,76
624,IPCA,2022-08-18,07/2023,0.337,0.3,0.12,0.61,61
625,IPCA,2022-08-18,07/2023,0.3163,0.3,0.0592,0.71,134
626,Câmbio,2022-08-18,07/2023,5.1119,5.13,4.2,6.0243,46
627,Câmbio,2022-08-18,07/2023,5.1603,5.18,4.2,6.0243,107
628,Taxa de desocupação,2022-08-18,07/2023,9.7505,9.895,7.3,11.75,22
629,Taxa de desocupação,2022-08-18,07/2023,9.6891,9.9,6.8,11.75,47
630,IPCA Livres,2022-08-18,07/2023,0.2856,0.28,-0.02,0.8,23
631,IPCA Livres,2022-08-18,07/2023,0.2614,0.232,-0.02,0.8,63
632,IPCA Serviços,2022-08-18,07/2023,0.515,0.52,0.1,0.97,19
633,IPCA Serviços,2022-08-18,07/2023,0.4893,0.45,0.1,0.97,52
634,IPCA Bens industrializados,2022-08-18,07/2023,0.1656,0.19,-0.17,0.4,19
635,IPCA Bens industrializados,2022-08-18,07/2023,0.1478,0.11,-0.17,0.5,52
636,IPCA Alimentação no domicílio,2022-08-18,07/2023,-0.012,-0.02,-0.45,0.49,19
637,IPCA Alimentação no domicílio,2022-08-18,07/2023,-0.043,-0.0643,-0.71,1.3,52
638,IPCA Administrados,2022-08-18,07/2023,0.6194,0.5796,0.23,1.21,24
639,IPCA Administrados,2022-08-18,07/2023,0.5314,0.5146,-0.27,1.52,68
640,IGP-M,2022-08-18,06/2023,0.3653,0.38,0.14,0.568,27
641,IGP-M,2022-08-18,06/2023,0.3564,0.35,0.09,1.01,76
642,IPCA,2022-08-18,06/2023,0.3187,0.32,0.01,0.5814,61
643,IPCA,2022-08-18,06/2023,0.316,0.32,0.01,0.62,134
644,Câmbio,2022-08-18,06/2023,5.1138,5.1444,4.3,5.9956,46
645,Câmbio,2022-08-18,06/2023,5.161,5.2,4.3,5.9956,107
646,Taxa de desocupação,2022-08-18,06/2023,9.7022,9.9,7.3,11.76,23
647,Taxa de desocupação,2022-08-18,06/2023,9.6794,9.9,7.3,11.76,49
648,IPCA Livres,2022-08-18,06/2023,0.2681,0.3,-0.11,0.44,23
649,IPCA Livres,2022-08-18,06/2023,0.2819,0.28,-0.11,0.61,63
650,IPCA Serviços,2022-08-18,06/2023,0.3976,0.3738,0.1,0.73,19
651,IPCA Serviços,2022-08-18,06/2023,0.4037,0.4,0.1,0.73,52
652,IPCA Bens industrializados,2022-08-18,06/2023,0.2677,0.2808,-0.13,0.5,19
653,IPCA Bens industrializados,2022-08-18,06/2023,0.2676,0.265,-0.13,0.5,52
654,IPCA Alimentação no domicílio,2022-08-18,06/2023,0.0636,0.2,-0.77,0.86,19
655,IPCA Alimentação no domicílio,2022-08-18,06/2023,0.0615,0.095,-0.77,0.86,52
656,IPCA Administrados,2022-08-18,06/2023,0.4634,0.46,0.15,0.85,24
657,IPCA Administrados,2022-08-18,06/2023,0.4676,0.43,-0.16,1.41,68
658,IGP-M,2022-08-18,05/2023,0.3252,0.356,-0.1,0.5326,27
659,IGP-M,2022-08-18,05/2023,0.3058,0.3,-0.1,0.63,77
660,IPCA,2022-08-18,05/2023,0.333,0.35,0.02,0.634,61
661,IPCA,2022-08-18,05/2023,0.3428,0.35,0.02,0.81,134
662,Câmbio,2022-08-18,05/2023,5.1144,5.1429,4.4,5.9563,46
663,Câmbio,2022-08-18,05/2023,5.1642,5.2,4.4,5.9563,107
664,Taxa de desocupação,2022-08-18,05/2023,9.7043,9.9,7.2,11.73,23
665,Taxa de desocupação,2022-08-18,05/2023,9.7121,9.8,7.2,11.73,48
666,IPCA Livres,2022-08-18,05/2023,0.1768,0.2064,-0.16,0.33,23
667,IPCA Livres,2022-08-18,05/2023,0.213,0.23,-0.16,0.5,63
668,IPCA Serviços,2022-08-18,05/2023,0.1128,0.14,-0.41,0.4,19
669,IPCA Serviços,2022-08-18,05/2023,0.1547,0.16,-0.41,0.5,52
670,IPCA Bens industrializados,2022-08-18,05/2023,0.3683,0.3775,0.18,0.59,19
671,IPCA Bens industrializados,2022-08-18,05/2023,0.3694,0.39,0.02,0.59,52
672,IPCA Alimentação no domicílio,2022-08-18,05/2023,0.1104,0.18,-0.48,0.5,19
673,IPCA Alimentação no domicílio,2022-08-18,05/2023,0.1153,0.18,-0.76,0.5,52
674,IPCA Administrados,2022-08-18,05/2023,0.6331,0.59,0.26,1.31,24
675,IPCA Administrados,2022-08-18,05/2023,0.6537,0.59,-0.16,2.28,68
676,IGP-M,2022-08-18,04/2023,0.3388,0.33,0.1,0.642,27
677,IGP-M,2022-08-18,04/2023,0.3381,0.33,0.09,0.78,77
